Country,Cluster
Malawi,2
Mozambique,2
Ethiopia,2
Zimbabwe,2
Tanzania,2
Uganda,2
Lesotho,2
Eswatini,2
Ukraine,0
Nigeria,0
North Korea,2
Ghana,0
Kenya,0
Iraq,0
Bangladesh,2
Nepal,2
Pakistan,0
Brazil,0
Venezuela,0
Myanmar,2
Bolivia,2
South Africa,0
Cambodia,2
Morocco,0
Lebanon,0
Papua New Guinea,2
India,0
Solomon Islands,2
Tunisia,0
Indonesia,0
Egypt,0
Iran,0
Philippines,0
Ecuador,0
Sri Lanka,0
Peru,0
Jordan,0
Colombia,0
Vietnam,0
Russia,0
Uzbekistan,0
Mexico,0
Mongolia,0
Thailand,0
Fiji,0
Georgia,0
Azerbaijan,0
Argentina,0
Armenia,0
Kazakhstan,0
Malaysia,0
Chile,0
Turkey,0
Costa Rica,0
China,0
Romania,0
Hungary,1
Portugal,1
Saudi Arabia,0
United States,1
Serbia,0
Poland,1
Greece,1
Lithuania,1
Estonia,1
Israel,1
Cuba,0
Slovenia,1
Czech Republic,1
South Korea,1
New Zealand,1
Hong Kong,1
Australia,1
France,1
UAE,0
Belgium,1
Taiwan,1
Canada,1
United Kingdom,1
Italy,1
Japan,1
Ireland,1
Finland,1
Spain,1
Austria,1
Germany,1
Netherlands,1
Sweden,1
Denmark,1
Singapore,1
Switzerland,1
Norway,1
